"id","prereq"
"31871","ANIM 140  Minimum Grade: D or ARCH 134  Minimum Grade: D or INTR 245  Minimum Grade: D"
"31872","ANIM 140  Minimum Grade: D or ARCH 134  Minimum Grade: D or INTR 245  Minimum Grade: D"
"31873","ANIM 140  Minimum Grade: D or ARCH 134  Minimum Grade: D or INTR 245  Minimum Grade: D"
"33456","ANIM 140  Minimum Grade: D or ARCH 134  Minimum Grade: D or INTR 245  Minimum Grade: D"
"32111","ANIM 140  Minimum Grade: D"
"32112","ANIM 140  Minimum Grade: D"
"32390","ANIM 140  Minimum Grade: D"
"35106","ANIM 140  Minimum Grade: D"
"34690","ANIM 211  Minimum Grade: D"
"34204","ANIM 140  Minimum Grade: D or ANIM 110  Minimum Grade: D or FMTV 110  Minimum Grade: D or VRIM 110  Minimum Grade: D"
"31784","ANIM 140  Minimum Grade: D and ANIM 220  Minimum Grade: D"
"32723","ANIM 140  Minimum Grade: D and ANIM 220  Minimum Grade: D"
"33887","ANIM 140  Minimum Grade: C"
"30939","ANIM 141  Minimum Grade: C or ANIM 145  Minimum Grade: C"
"33126","ANIM 141  Minimum Grade: C or ANIM 145  Minimum Grade: C"
"33888","ANIM 140  Minimum Grade: D"
"33889","ANIM 212  Minimum Grade: C"
"30022","ARCH 142  Minimum Grade: C-"
"30023","ARCH 142  Minimum Grade: C-"
"33812","ARCH 172  Minimum Grade: C-"
"33813","ARCH 172  Minimum Grade: C-"
"33814","ARCH 172  Minimum Grade: C-"
"31141","ARCH 182  Minimum Grade: C or INTR 233  Minimum Grade: C-"
"31142","ARCH 182  Minimum Grade: C or INTR 233  Minimum Grade: C-"
"31143","ARCH 182  Minimum Grade: C or INTR 233  Minimum Grade: C-"
"31220","ARCH 182  Minimum Grade: C or INTR 233  Minimum Grade: C-"
"32368","ARCH 182  Minimum Grade: C or INTR 233  Minimum Grade: C-"
"31144","ARCH 212  Minimum Grade: C"
"31145","ARCH 212  Minimum Grade: C"
"31390","ARCH 212  Minimum Grade: C"
"34653","ARCH 212  Minimum Grade: C"
"31282","ARCH 225  Minimum Grade: C and ARCH 282  Minimum Grade: C"
"31283","ARCH 225  Minimum Grade: C and ARCH 282  Minimum Grade: C"
"31340","ARCH 225  Minimum Grade: C and ARCH 282  Minimum Grade: C"
"33816","ARCH 275  Minimum Grade: C-"
"33817","ARCH 275  Minimum Grade: C-"
"31284","( (ARCH 222  Minimum Grade: C- and ARCH 252  Minimum Grade: C- ) or ARCH 170  Minimum Grade: C- ) and ARCH 282  Minimum Grade: C and ARCH 225  Minimum Grade: C"
"31285","( (ARCH 222  Minimum Grade: C- and ARCH 252  Minimum Grade: C- ) or ARCH 170  Minimum Grade: C- ) and ARCH 282  Minimum Grade: C and ARCH 225  Minimum Grade: C"
"31343","( (ARCH 222  Minimum Grade: C- and ARCH 252  Minimum Grade: C- ) or ARCH 170  Minimum Grade: C- ) and ARCH 282  Minimum Grade: C and ARCH 225  Minimum Grade: C"
"33820","ARCH 378  Minimum Grade: C-"
"33821","ARCH 378  Minimum Grade: C-"
"30167","ARCH 226  Minimum Grade: C- or INTR 341  Minimum Grade: C-"
"33679","(ARCH 143  Minimum Grade: C or INTR 200  Minimum Grade: C ) and (ARCH 283  Minimum Grade: C or INTR 342  Minimum Grade: C or INTR 442  Minimum Grade: C )"
"33829","ARCH 143  Minimum Grade: C"
"34247","ARCH 382  Minimum Grade: C or INTR 342  Minimum Grade: C- or INTR 442  Minimum Grade: C- and (ARCH 482  Minimum Grade: C )"
"34248","ARCH 382  Minimum Grade: C or INTR 342  Minimum Grade: C- or INTR 442  Minimum Grade: C- and (ARCH 482  Minimum Grade: C )"
"34249","ARCH 382  Minimum Grade: C or INTR 342  Minimum Grade: C- or INTR 442  Minimum Grade: C- and (ARCH 482  Minimum Grade: C )"
"34250","ARCH 382  Minimum Grade: C or INTR 342  Minimum Grade: C- or INTR 442  Minimum Grade: C- and (ARCH 482  Minimum Grade: C )"
"34251","ARCH 382  Minimum Grade: C or INTR 342  Minimum Grade: C- or INTR 442  Minimum Grade: C- and (ARCH 482  Minimum Grade: C )"
"34252","ARCH 382  Minimum Grade: C or INTR 342  Minimum Grade: C- or INTR 442  Minimum Grade: C- and (ARCH 482  Minimum Grade: C )"
"31801","ARCH 488  Minimum Grade: C"
"31802","ARCH 488  Minimum Grade: C"
"31435","ARCH 494  Minimum Grade: C"
"32370","ARCH 494  Minimum Grade: C"
