crn, subject_code, course_number, instruction_type, instruction_method, section, enroll, max_enroll, course_title, credits, prereqs, start_time, end_time, days
31871,ANIM,145,Integrated Lecture & Lab,Face To Face,001,FULL,FULL,Realtime Visualization,3.00,ANIM 140  Minimum Grade: D or ARCH 134  Minimum Grade: D or INTR 245  Minimum Grade: D,09:00:00,11:50:00,{Monday}
31872,ANIM,145,Integrated Lecture & Lab,Face To Face,002,FULL,FULL,Realtime Visualization,3.00,ANIM 140  Minimum Grade: D or ARCH 134  Minimum Grade: D or INTR 245  Minimum Grade: D,09:00:00,11:50:00,{Wednesday}
31873,ANIM,145,Integrated Lecture & Lab,Face To Face,003,FULL,FULL,Realtime Visualization,3.00,ANIM 140  Minimum Grade: D or ARCH 134  Minimum Grade: D or INTR 245  Minimum Grade: D,18:30:00,21:20:00,{Tuesday}
33456,ANIM,145,Integrated Lecture & Lab,Face To Face,004,FULL,FULL,Realtime Visualization,3.00,ANIM 140  Minimum Grade: D or ARCH 134  Minimum Grade: D or INTR 245  Minimum Grade: D,18:30:00,21:20:00,{Thursday}
34689,ANIM,146,Lecture,Face To Face,001,FULL,FULL,Basic Portfolio,1.00,,18:30:00,19:20:00,{Tuesday}
32111,ANIM,211,Lecture,Face To Face,001,FULL,FULL,Animation I,3.00,ANIM 140  Minimum Grade: D,09:00:00,11:50:00,{Wednesday}
32112,ANIM,211,Lecture,Face To Face,002,FULL,FULL,Animation I,3.00,ANIM 140  Minimum Grade: D,12:00:00,14:50:00,{Wednesday}
32390,ANIM,211,Lecture,Face To Face,003,FULL,FULL,Animation I,3.00,ANIM 140  Minimum Grade: D,15:30:00,18:20:00,{Thursday}
35106,ANIM,211,Lecture,Face To Face,004,13,16,Animation I,3.00,ANIM 140  Minimum Grade: D,18:30:00,21:20:00,{Tuesday}
34690,ANIM,213,Lecture,Face To Face,001,FULL,FULL,Rigging I,3.00,ANIM 211  Minimum Grade: D,12:30:00,15:20:00,{Thursday}
34204,ANIM,220,Lecture,Face To Face,001,FULL,FULL,Digital Compositing I,3.00,ANIM 140  Minimum Grade: D or ANIM 110  Minimum Grade: D or FMTV 110  Minimum Grade: D or VRIM 110  Minimum Grade: D,15:30:00,18:20:00,{Tuesday}
31784,ANIM,221,Lecture,Face To Face,001,FULL,FULL,Digital Compositing II,3.00,ANIM 140  Minimum Grade: D and ANIM 220  Minimum Grade: D,12:00:00,14:50:00,{Monday}
32723,ANIM,221,Lecture,Face To Face,002,12,16,Digital Compositing II,3.00,ANIM 140  Minimum Grade: D and ANIM 220  Minimum Grade: D,12:00:00,14:50:00,{Wednesday}
33887,ANIM,240,Lecture,Face To Face,001,FULL,FULL,Lighting & Surfacing,3.00,ANIM 140  Minimum Grade: C,09:00:00,11:50:00,{Friday}
30939,ANIM,247,Lecture,Face To Face,001,FULL,FULL,Organic Modeling I,3.00,ANIM 141  Minimum Grade: C or ANIM 145  Minimum Grade: C,12:00:00,14:50:00,{Wednesday}
33126,ANIM,247,Lecture,Face To Face,002,FULL,FULL,Organic Modeling I,3.00,ANIM 141  Minimum Grade: C or ANIM 145  Minimum Grade: C,15:00:00,17:50:00,{Wednesday}
33888,ANIM,301,Lecture,Remote Synchronous,001,FULL,FULL,Procedural Animation,3.00,ANIM 140  Minimum Grade: D,15:00:00,17:50:00,{Friday}
33889,ANIM,314,Lecture,Remote Synchronous,001,FULL,FULL,Character Animation I,3.00,ANIM 212  Minimum Grade: C,12:00:00,14:50:00,{Monday}
33680,ARCH,118,Lecture & Studio,Face To Face,001,FULL,FULL,Architectural Design Foundations I,3.00,,19:00:00,21:50:00,{Thursday}
33681,ARCH,140,Lecture,Face To Face,001,14,20,Appreciation of Architecture,3.00,,11:00:00,12:20:00,"{Tuesday,Thursday}"
30021,ARCH,141,Lecture,Face To Face,001,FULL,FULL,Architecture and Society I,3.00,,18:00:00,20:50:00,{Monday}
30022,ARCH,143,Lecture,Face To Face,001,68,80,Architecture and Society III,3.00,ARCH 142  Minimum Grade: C-,14:00:00,15:20:00,"{Tuesday,Thursday}"
30023,ARCH,143,Lecture,Face To Face,002,FULL,FULL,Architecture and Society III,3.00,ARCH 142  Minimum Grade: C-,18:00:00,20:50:00,{Wednesday}
33812,ARCH,173,Lecture,Face To Face,001,FULL,FULL,Architectural Technology III,3.00,ARCH 172  Minimum Grade: C-,18:00:00,20:50:00,{Monday}
33813,ARCH,173,Lecture,Face To Face,002,FULL,FULL,Architectural Technology III,3.00,ARCH 172  Minimum Grade: C-,18:00:00,20:50:00,{Monday}
33814,ARCH,173,Lecture,Face To Face,003,FULL,FULL,Architectural Technology III,3.00,ARCH 172  Minimum Grade: C-,18:00:00,20:50:00,{Monday}
31141,ARCH,183,Lab & Studio,Face To Face,001,11,12,Architecture Studio 1C,4.00,ARCH 182  Minimum Grade: C or INTR 233  Minimum Grade: C-,09:00:00,11:50:00,"{Monday,Thursday}"
31142,ARCH,183,Lab & Studio,Face To Face,002,10,12,Architecture Studio 1C,4.00,ARCH 182  Minimum Grade: C or INTR 233  Minimum Grade: C-,09:00:00,11:50:00,"{Monday,Thursday}"
31143,ARCH,183,Lab & Studio,Face To Face,003,FULL,FULL,Architecture Studio 1C,4.00,ARCH 182  Minimum Grade: C or INTR 233  Minimum Grade: C-,09:00:00,11:50:00,"{Monday,Thursday}"
31220,ARCH,183,Lab & Studio,Face To Face,004,10,12,Architecture Studio 1C,4.00,ARCH 182  Minimum Grade: C or INTR 233  Minimum Grade: C-,09:00:00,11:50:00,"{Monday,Thursday}"
32368,ARCH,183,Lab & Studio,Face To Face,005,11,12,Architecture Studio 1C,4.00,ARCH 182  Minimum Grade: C or INTR 233  Minimum Grade: C-,18:00:00,21:50:00,{Thursday}
31144,ARCH,213,Lecture & Studio,Face To Face,001,12,14,Architectural Representation III,2.00,ARCH 212  Minimum Grade: C,09:00:00,11:50:00,{Wednesday}
31145,ARCH,213,Lecture & Studio,Face To Face,002,FULL,FULL,Architectural Representation III,2.00,ARCH 212  Minimum Grade: C,09:00:00,11:50:00,{Wednesday}
31390,ARCH,213,Lecture & Studio,Face To Face,003,12,14,Architectural Representation III,2.00,ARCH 212  Minimum Grade: C,09:00:00,11:50:00,{Wednesday}
34653,ARCH,213,Lecture & Studio,Face To Face,004,11,14,Architectural Representation III,2.00,ARCH 212  Minimum Grade: C,18:00:00,20:50:00,{Tuesday}
31282,ARCH,226,Lecture & Studio,Face To Face,001,FULL,FULL,Architectural Representation VI,2.00,ARCH 225  Minimum Grade: C and ARCH 282  Minimum Grade: C,14:00:00,16:50:00,{Wednesday}
31283,ARCH,226,Lecture & Studio,Face To Face,002,FULL,FULL,Architectural Representation VI,2.00,ARCH 225  Minimum Grade: C and ARCH 282  Minimum Grade: C,14:00:00,16:50:00,{Wednesday}
31340,ARCH,226,Lecture & Studio,Face To Face,003,FULL,FULL,Architectural Representation VI,2.00,ARCH 225  Minimum Grade: C and ARCH 282  Minimum Grade: C,18:00:00,20:50:00,{Wednesday}
33816,ARCH,276,Lecture,Face To Face,001,FULL,FULL,Architectural Technology VI,3.00,ARCH 275  Minimum Grade: C-,18:00:00,20:50:00,{Monday}
33817,ARCH,276,Lecture,Face To Face,002,16,17,Architectural Technology VI,3.00,ARCH 275  Minimum Grade: C-,18:00:00,20:50:00,{Monday}
