id,subject_id,course_number,title,credits,credit_range,description,writing_intensive,repeat_status,restrictions
2ca455ee-d677-4dbe-93ae-3262783747cb,ADGD,I199,Independent Study in ADGD,12.0,0.0-12.0,Self-directed within the area of study requiring intermittent consultation with a designated instructor.,False,Can be repeated multiple times for credit,
fe30bb43-e108-474a-aedd-6cead9a6cc03,ADGD,I299,Independent Study in ADGD,12.0,0.0-12.0,Self-directed within the area of study requiring intermittent consultation with a designated instructor.,False,Can be repeated multiple times for credit,
70784a47-6c90-49ea-8fbe-5db233bdf9af,ADGD,I399,Independent Study in ADGD,12.0,0.0-12.0,Self-directed within the area of study requiring intermittent consultation with a designated instructor.,False,Can be repeated multiple times for credit,
a9be2564-b149-44bc-93a0-cf8817e8e675,ADGD,I499,Independent Study in ADGD,12.0,0.0-12.0,Self-directed within the area of study requiring intermittent consultation with a designated instructor.,False,Can be repeated multiple times for credit,
17615e3c-4800-47db-8f11-e0b0bdc67b49,ADGD,T180,Special Topics in Advertising Design,12.0,0.0-12.0,Topics decided upon by faculty will vary within the area of study.,False,Can be repeated multiple times for credit,
87995e0a-236f-4e19-8e95-18a36a72531a,ADGD,T280,Special Topics in Advertising Design,12.0,0.0-12.0,Topics decided upon by faculty will vary within the area of study.,False,Can be repeated multiple times for credit,
b354ec58-b1a2-44d1-8598-9d59070593d3,ADGD,T380,Special Topics in Advertising Design,12.0,0.0-12.0,Topics decided upon by faculty will vary within the area of study.,False,Can be repeated multiple times for credit,
f5239a0b-9865-4680-8320-3565606dd1f5,ADGD,T480,Special Topics in Advertising Design,12.0,0.0-12.0,Topics decided upon by faculty will vary within the area of study.,False,Can be repeated multiple times for credit,
ca2921d5-4d68-4cd6-bc54-567a85dc590e,ANIM,100,Foundational Tools for Animation & VFX,3.0,,"Students will learn fundamentals of core tools in Digital Animation & Visual Effects related disciplines. Tools introduced include pixel based image manipulation tools (such as Photoshop), vector based graphics tools (such as Illustrator), video and animation compositing tools (such as After Effects and Nuke) and 3D CGI tools (such as Maya). Animation and visual effects related applications introduced include digital image alteration, digital matte painting, three dimensional type creation, and other foundational animation and visual effects tasks.",False,Not repeatable for credit,
dedef2b9-30ec-4942-9387-0abc7432715a,ANIM,110,Digital Imaging for Animation & VFX,3.0,,"Students learn foundational image acquisition, lighting and processing techniques and principles utilized in Animation & VFX disciplines. Topics covered include digital still and video imaging and lighting fundamentals for reference and background gathering, texture creation, normal map sampling, spherical and high dynamic range acquisition, location survey and more.",False,Not repeatable for credit,
