id,name,department,rmp_legacy_id,rmp_id,num_ratings,avg_rating,avg_difficulty
3,Michael T Sulesky,Digital Media,2884111,VGVhY2hlci0yODg0MTEx,3,4.3,2.3
6,Alexus D Aiken,Digital Media,2831527,VGVhY2hlci0yODMxNTI3,6,1.7,3.8
9,Valentina M Miller,,,,,,
5,Christopher V Cerrone,Digital Media,2843490,VGVhY2hlci0yODQzNDkw,1,4.0,4.0
13,Craig Sylvester,,,,,,
1,Dan P Rose,Digital Media,2623059,VGVhY2hlci0yNjIzMDU5,6,1.8,4.2
19,Yael Asman,,,,,,
21,Bruce Laverty,,,,,,
23,Leslie E Lodwick,,,,,,
24,Timothy Nawrocki,,,,,,
25,David Murray,,,,,,
26,Stephen Cantando,,,,,,
27,Andrew P Phillips,,,,,,
30,Stephanie C Feldman,,,,,,
34,Caitlin A Kline,,,,,,
33,Nicholas G Houser,,,,,,
39,Alex J Stadel,,,,,,
40,Mark R Odorizzi,,,,,,
42,James W Rowe,,,,,,
43,Jennifer Hofer Jeffrey,,,,,,
35,Mia E Rosensaft,,,,,,
46,Robin S Miller,,,,,,
28,David A Beker,Finance,775233,VGVhY2hlci03NzUyMzM=,7,3.1,4.4
50,Roberto J Deseda,,,,,,
29,Nyasha C Felder,,,,,,
32,Bumjin Kim,,,,,,
54,Alesa I Rubendall,,,,,,
55,Antonio Martinez-Molina,,,,,,
56,Daniel E Brown,,,,,,
57,Alan J Greenberger,,,,,,
58,Joanne Aitken,,,,,,
31,Wolfram D Arendt,,,,,,
60,Catherine G Broh,,,,,,
61,John T Defazio,,,,,,
62,Don M Jones,,,,,,
63,Richard King,,,,,,
64,Thomas P Kirchner,,,,,,
65,Jeffrey F Krieger,,,,,,
66,Robert E Nalls,,,,,,
67,Paul J Salvaggio,,,,,,
68,Kelly F Vresilovic,,,,,,
69,Sarina R Miller,Art History,2606878,VGVhY2hlci0yNjA2ODc4,8,4.6,2.4
70,Joseph F Gregory,History,182576,VGVhY2hlci0xODI1NzY=,40,3.9,2.8
71,Linda Kim,Art History,2526905,VGVhY2hlci0yNTI2OTA1,19,3.1,4.0
72,Jack M Hinton,,,,,,
20,Daniel E Coslett,Architecture,3012772,VGVhY2hlci0zMDEyNzcy,4,4.0,3.8
77,Mia Kang,,,,,,
80,Sharon Erwin,,,,,,
84,Julie R Goodman,,,,,,
81,Pamela Yau,,,,,,
82,Laura-Edythe S Coleman,,,,,,
88,Ella R Cuda,,,,,,
89,Jennifer S Morley,,,,,,
92,Clyde Evans,,,,,,
94,Jessica M Kroboth,,,,,,
95,Dara J Meredith,,,,,,
96,Imani Griffith,,,,,,
102,Abby S Toll,,,,,,
99,Becky Malcolm-Naib,,,,,,
90,Jourdan N Howland-Townsend,,,,,,
91,Kareem B Goodwin,,,,,,
104,Blanca Huertas-Agnew,,,,,,
109,Miriam G Giguere,,,,,,
110,Corina L Cleffi,,,,,,
93,Britt W Fishel,,,,,,
113,Chris D Baeza,Design,2236846,VGVhY2hlci0yMjM2ODQ2,5,3.0,3.8
116,Christine A Kostryka,,,,,,
114,Kimberly N McGlonn,,,,,,
117,Nick A Cassway,Design,2606948,VGVhY2hlci0yNjA2OTQ4,5,4.2,3.6
122,Alphonso D McClendon,Media Arts & Design,2624044,VGVhY2hlci0yNjI0MDQ0,2,5.0,2.5
115,Rachel A Higgins,,,,,,
120,Maureen C DeSimone,Design,2473031,VGVhY2hlci0yNDczMDMx,4,4.8,3.5
128,Joshua Longo,,,,,,
137,Glen Muschio,Graphic Arts,133894,VGVhY2hlci0xMzM4OTQ=,32,2.0,3.9
139,Rob E Lloyd,Digital Media,2431729,VGVhY2hlci0yNDMxNzI5,4,4.3,2.8
15,Dave A Mauriello,Graphic Arts,2223845,VGVhY2hlci0yMjIzODQ1,3,4.3,4.3
141,Troy W Finamore,Design,1384470,VGVhY2hlci0xMzg0NDcw,6,3.7,3.7
142,Jervis W Thompson,Digital Media,1796978,VGVhY2hlci0xNzk2OTc4,6,3.7,2.2
12,Milady S Bridges,Digital Media,2999230,VGVhY2hlci0yOTk5MjMw,1,5.0,4.0
148,Philip J Sinatra,Digital Media,2491883,VGVhY2hlci0yNDkxODgz,8,4.4,4.0
8,Anjelikal A Rogers,,,,,,
18,Sir Neistadt,Digital Media,3060808,VGVhY2hlci0zMDYwODA4,1,5.0,3.0
17,Debra A Isaac,,,,,,
133,Arianna B Gass,,,,,,
156,Emil Polyak,,,,,,
155,Michael G Wagner,,,,,,
166,Shannon Lacek,Management,2726129,VGVhY2hlci0yNzI2MTI5,5,4.6,2.4
167,Brea M Heidelberg,Fine Arts,2333197,VGVhY2hlci0yMzMzMTk3,10,2.4,2.2
168,Chauncey Childs,,,,,,
169,Dan E Toll,,,,,,
83,Scott A Cooper,,,,,,
171,Kimberly A Reynolds,,,,,,
165,Jeanne M Waite,Management,2640705,VGVhY2hlci0yNjQwNzA1,3,5.0,1.7
76,Kelly L Reddy-Best,,,,,,
185,DC C Claassen,,,,,,
175,Cynthia A Golembuski,,,,,,
152,Kathleen C Martin,,,,,,
182,Hyun A Kim,,,,,,
180,Nicole M Haddad,,,,,,
184,Jaeyoon Jeong,Design,2300398,VGVhY2hlci0yMzAwMzk4,1,5.0,3.0
189,Autumnlin E Kietponglert,,,,,,
190,Lisa L Hayes,,,,,,
186,Jackie Kilmartin,,,,,,
201,David P Deneen,Film,1287801,VGVhY2hlci0xMjg3ODAx,9,5.0,2.6
208,Barb C Steele,,,,,,
209,Joseph A DiVita,Film,2473785,VGVhY2hlci0yNDczNzg1,13,4.5,3.0
212,Joe R Marsini,Film,3075290,VGVhY2hlci0zMDc1Mjkw,1,4.0,1.0
213,Dana M DeSalis,,,,,,
214,Jocelyn R Tarquini,Film,1739270,VGVhY2hlci0xNzM5Mjcw,6,4.7,2.8
216,Thomas E Quinn,,,,,,
217,Benjamin M Kalina,,,,,,
202,Alison D Standefer,,,,,,
220,Tori L Marchiony,,,,,,
225,Karin Kelly,,,,,,
219,Andrew B Susskind,Film,2350369,VGVhY2hlci0yMzUwMzY5,3,2.3,2.7
228,Ashlee E Wellenreiter,,,,,,
206,Gerard M Hooper,,,,,,
205,David A Schwartz,,,,,,
234,Steven E Denisevicz,Digital Media,3057256,VGVhY2hlci0zMDU3MjU2,3,4.7,2.0
235,Jessica E Creane,Media Arts & Design,2636281,VGVhY2hlci0yNjM2Mjgx,9,2.4,3.6
238,Darya Ramezani,Digital Media,2924276,VGVhY2hlci0yOTI0Mjc2,4,5.0,2.5
232,Ryan R Morrison,,,,,,
231,Adrian T Sandoval,Digital Media,2884114,VGVhY2hlci0yODg0MTE0,9,4.6,1.9
244,Nicolas E Losada Martinez,,,,,,
136,Anuraj Bhatnagar,,,,,,
