instructor_id,section_crn
3,13009
3,31568
3,32751
6,12836
6,20771
6,20772
6,22950
6,31770
6,31771
6,31991
9,12835
9,12836
9,40529
9,40964
5,13779
5,13242
5,14361
5,22794
5,22795
5,33256
5,33789
13,31509
13,32257
13,41627
1,12837
1,12838
1,10867
1,20770
1,24321
1,20916
1,31566
1,31567
1,32999
1,30986
21,41956
24,13195
24,11085
24,23255
24,21103
24,32958
24,40533
27,10923
27,20960
27,30989
29,10924
29,11093
29,20961
29,30990
29,33289
32,10925
32,11024
32,13755
32,20962
32,21003
32,30992
32,31105
32,33288
32,32590
54,10563
54,11294
54,20634
54,21288
55,13200
55,11530
55,23260
55,21534
55,32963
55,31521
69,21926
69,40528
71,30013
71,33753
20,10064
20,20016
20,32884
20,30019
20,34129
88,11323
88,11322
88,21306
88,21307
88,31342
89,11598
89,11993
89,21308
89,31343
89,40598
89,40933
92,11324
92,31344
92,41644
94,31995
102,10088
102,33016
91,13252
91,23313
91,33638
91,31996
109,12844
109,11994
109,21986
109,31348
109,31997
110,31349
93,10176
93,11992
93,23145
93,21311
93,32585
93,33006
113,11581
113,14342
113,21567
113,20056
113,20066
113,32372
113,41218
116,30119
114,10433
114,22548
114,23289
114,30147
114,32594
117,10123
117,11582
117,10325
117,20965
117,21972
117,22937
117,33777
117,33778
117,32985
122,11082
122,12993
122,22812
122,30709
115,10503
115,20484
115,24307
115,30238
115,31496
120,12735
120,13216
120,20173
120,23721
120,30237
120,31314
120,32986
137,13244
137,13245
137,22797
137,31772
137,30437
139,11080
139,11748
139,11897
139,21101
139,21568
139,31157
15,14360
15,14363
15,11523
15,24318
15,24598
15,21358
15,30816
15,33001
141,12840
141,11989
141,23325
141,24336
141,33019
142,11988
142,12499
142,21981
142,23327
142,22445
142,24335
142,31028
12,14364
12,13072
12,24320
12,22643
12,33786
12,31405
12,32579
148,11525
148,13247
148,14376
148,14378
148,21000
148,23328
148,24334
8,10516
8,33788
8,41855
8,41856
17,13010
17,33000
156,40628
156,40930
166,11639
166,14305
166,12850
166,22433
166,30386
166,33903
167,12849
167,12852
167,22809
167,32252
165,10235
165,11533
165,22065
165,24292
165,21800
165,31782
165,32749
76,14345
185,13218
185,13220
185,21899
185,33010
175,13217
175,11660
175,20149
175,22086
175,31926
175,32253
175,40695
182,13225
182,11275
180,14346
184,12742
184,13226
184,24311
184,23291
184,31508
184,32989
189,41957
190,11982
190,11985
190,20150
190,23324
190,30524
190,31049
190,40912
186,13219
186,13227
186,23046
186,24313
186,31929
186,31930
201,13215
201,12183
201,13133
201,13076
201,24296
201,23516
201,24095
201,22057
201,22058
201,22948
201,23523
201,31764
201,33627
201,40918
201,41404
209,22545
209,22546
209,31292
209,41216
209,41881
212,11741
212,31765
214,11967
214,11968
214,11974
214,12740
214,22059
214,22060
214,31291
214,31513
214,31514
214,40919
216,11964
216,11966
216,11977
216,22949
216,23066
216,31516
216,41922
217,11526
217,11978
217,11761
217,23783
217,31517
202,13778
202,11969
