crn,course_id,subject_code,course_number,term_id,section,max_enroll,start_time,end_time,instruction_method,instruction_type
12835,dedef2b9-30ec-4942-9387-0abc7432715a,ANIM,110,202515,001,18,18:30,21:20,Face To Face,Lecture
12836,dedef2b9-30ec-4942-9387-0abc7432715a,ANIM,110,202515,002,18,12:00,14:50,Face To Face,Lecture
22226,3269b073-3509-4da3-9759-656529ee865b,ANIM,115,202525,001,16,09:30,12:20,Face To Face,Lecture
23306,3269b073-3509-4da3-9759-656529ee865b,ANIM,115,202525,002,16,09:00,11:50,Face To Face,Lecture
12837,e19b861c-deea-4f03-b04a-b0fa933932aa,ANIM,140,202515,001,18,09:00,11:50,Face To Face,Lecture
12838,e19b861c-deea-4f03-b04a-b0fa933932aa,ANIM,140,202515,002,18,09:00,11:50,Face To Face,Lecture
13009,e19b861c-deea-4f03-b04a-b0fa933932aa,ANIM,140,202515,003,18,18:30,21:20,Face To Face,Lecture
20770,e19b861c-deea-4f03-b04a-b0fa933932aa,ANIM,140,202525,001,18,09:00,11:50,Face To Face,Lecture
20771,e19b861c-deea-4f03-b04a-b0fa933932aa,ANIM,140,202525,002,18,12:00,14:50,Face To Face,Lecture
20772,e19b861c-deea-4f03-b04a-b0fa933932aa,ANIM,140,202525,003,18,12:30,15:20,Face To Face,Lecture
22950,e19b861c-deea-4f03-b04a-b0fa933932aa,ANIM,140,202525,004,18,15:30,18:20,Face To Face,Lecture
22794,508ced57-24e9-4547-a108-28b5cf68abee,ANIM,141,202525,001,18,15:30,18:20,Face To Face,Lecture
22795,508ced57-24e9-4547-a108-28b5cf68abee,ANIM,141,202525,002,18,18:30,21:20,Face To Face,Lecture
31566,98820e7c-cd9b-4ff8-a1fb-73c3ce48759e,ANIM,145,202535,001,17,09:00,11:50,Face To Face,Integrated Lecture & Lab
31567,98820e7c-cd9b-4ff8-a1fb-73c3ce48759e,ANIM,145,202535,002,17,12:00,14:50,Face To Face,Integrated Lecture & Lab
