section_crn,day_id
12835,Thursday
12836,Friday
12837,Monday
12838,Wednesday
13009,Tuesday
13779,Tuesday
10515,Wednesday
10516,Thursday
14360,Wednesday
13242,Tuesday
14361,Tuesday
13010,Friday
14363,Wednesday
14364,Monday
13243,Friday
13071,Thursday
10064,Tuesday
10064,Thursday
11948,Wednesday
11735,Monday
13195,Monday
13196,Monday
13197,Monday
10923,Monday
10923,Thursday
10924,Monday
10924,Thursday
11022,Monday
11022,Thursday
11576,Monday
11576,Thursday
11949,Thursday
10925,Wednesday
10926,Wednesday
11023,Wednesday
11950,Tuesday
11024,Wednesday
11025,Wednesday
14282,Wednesday
11736,Tuesday
13198,Monday
13199,Monday
14283,Monday
11026,Tuesday
11026,Friday
11027,Tuesday
11027,Friday
11084,Tuesday
11084,Friday
14284,Tuesday
14284,Friday
14285,Thursday
12853,Wednesday
10563,Thursday
11737,Thursday
14400,Thursday
11528,Tuesday
13200,Monday
13201,Monday
14286,Monday
14293,Wednesday
14295,Tuesday
14297,Monday
11085,Tuesday
11093,Tuesday
11293,Tuesday
14291,Wednesday
11294,Wednesday
13202,Wednesday
11529,Wednesday
11530,Wednesday
11531,Wednesday
14287,Wednesday
12854,Thursday
11889,Monday
11951,Monday
11952,Monday
11953,Monday
11954,Monday
11955,Monday
11956,Monday
11957,Monday
13100,Monday
10048,Tuesday
10048,Thursday
10700,Monday
10700,Wednesday
14397,Monday
14397,Wednesday
14335,Friday
14337,Wednesday
11762,Tuesday
11762,Thursday
14338,Monday
11323,Monday
11323,Wednesday
11322,Monday
11322,Wednesday
11495,Tuesday
11495,Thursday
11598,Monday
11598,Wednesday
11324,Tuesday
11324,Thursday
11325,Friday
10176,Tuesday
10176,Thursday
10506,Tuesday
10506,Thursday
10418,Saturday
10472,Monday
10472,Wednesday
10393,Friday
10088,Wednesday
11992,Thursday
11326,Tuesday
11326,Thursday
11993,Monday
11993,Wednesday
13252,Monday
13252,Wednesday
11344,Wednesday
12844,Monday
12844,Wednesday
11994,Thursday
11581,Tuesday
11581,Thursday
10123,Monday
10123,Wednesday
11582,Monday
11582,Wednesday
10433,Thursday
11082,Wednesday
10503,Monday
10325,Wednesday
14341,Monday
12735,Tuesday
13216,Thursday
12993,Monday
14342,Thursday
13244,Tuesday
13245,Thursday
11744,Thursday
12839,Wednesday
12497,Wednesday
12772,Wednesday
11080,Friday
11523,Tuesday
11523,Thursday
12840,Thursday
10866,Wednesday
10867,Wednesday
10868,Wednesday
11745,Wednesday
13072,Tuesday
14365,Tuesday
10235,Tuesday
10235,Thursday
11639,Monday
11639,Wednesday
12849,Tuesday
12849,Thursday
14305,Monday
14305,Wednesday
12850,Monday
12850,Wednesday
14650,Monday
11533,Tuesday
11533,Thursday
12852,Tuesday
12852,Thursday
11764,Wednesday
10090,Tuesday
10090,Thursday
12494,Tuesday
12494,Thursday
13217,Tuesday
13217,Thursday
13218,Wednesday
13218,Friday
13219,Monday
13219,Wednesday
13220,Wednesday
13220,Friday
13222,Monday
13222,Wednesday
11882,Monday
11882,Wednesday
12524,Monday
12524,Wednesday
14344,Tuesday
14344,Thursday
13451,Monday
13451,Wednesday
13365,Tuesday
13365,Thursday
13225,Tuesday
13225,Thursday
11275,Tuesday
11275,Thursday
14346,Tuesday
14346,Thursday
12742,Monday
12742,Wednesday
11982,Tuesday
11982,Thursday
11985,Tuesday
11985,Thursday
13226,Monday
13226,Wednesday
13227,Monday
13227,Wednesday
11420,Monday
11420,Wednesday
11660,Tuesday
11660,Thursday
13228,Monday
13228,Wednesday
13778,Monday
11962,Monday
11963,Tuesday
11964,Thursday
11965,Thursday
11966,Thursday
11967,Wednesday
11968,Thursday
11281,Wednesday
11282,Thursday
13215,Friday
11969,Wednesday
11970,Monday
12613,Thursday
11972,Thursday
12183,Friday
11973,Tuesday
13133,Wednesday
11974,Thursday
11975,Monday
12996,Monday
11526,Tuesday
12997,Wednesday
11976,Wednesday
12184,Tuesday
12739,Monday
12740,Wednesday
14316,Tuesday
12614,Tuesday
13076,Thursday
13736,Wednesday
11977,Monday
11978,Monday
11979,Friday
11980,Friday
11738,Monday
11739,Wednesday
11761,Wednesday
12192,Monday
11334,Wednesday
11335,Thursday
11746,Monday
11747,Wednesday
11748,Tuesday
11897,Thursday
10517,Monday
11524,Tuesday
10564,Wednesday
12498,Thursday
11236,Friday
11750,Monday
11749,Wednesday
12731,Friday
14374,Wednesday
11751,Monday
10518,Monday
10608,Wednesday
14375,Tuesday
14375,Thursday
11081,Monday
11081,Wednesday
10216,Monday
10216,Wednesday
12617,Tuesday
12617,Thursday
12618,Tuesday
12618,Thursday
10019,Monday
10019,Wednesday
10050,Monday
10050,Wednesday
10169,Tuesday
10169,Thursday
10170,Tuesday
10170,Thursday
12743,Tuesday
12743,Thursday
12744,Tuesday
12744,Thursday
11126,Monday
11126,Wednesday
11522,Monday
11522,Wednesday
10051,Monday
10051,Wednesday
10052,Monday
10052,Wednesday
11766,Monday
11766,Wednesday
12551,Tuesday
12551,Thursday
12552,Tuesday
12552,Thursday
12553,Tuesday
12553,Thursday
11379,Tuesday
11987,Monday
13246,Wednesday
11525,Tuesday
14561,Monday
13247,Tuesday
14376,Thursday
11988,Tuesday
14377,Thursday
14378,Thursday
12499,Tuesday
13249,Monday
14379,Tuesday
11989,Tuesday
14380,Thursday
11886,Tuesday
11886,Thursday
11887,Tuesday
11887,Thursday
11888,Tuesday
11888,Thursday
10491,Monday
10491,Wednesday
13206,Monday
13206,Wednesday
13207,Monday
13207,Wednesday
14288,Monday
14288,Wednesday
11295,Thursday
13208,Monday
13208,Wednesday
13069,Monday
13069,Wednesday
13070,Monday
13070,Wednesday
14674,Tuesday
14674,Thursday
10318,Tuesday
10835,Thursday
10836,Thursday
10449,Tuesday
10449,Thursday
10066,Wednesday
11995,Monday
11995,Wednesday
10068,Monday
10068,Wednesday
10655,Tuesday
10655,Thursday
10808,Tuesday
10808,Thursday
10067,Wednesday
12845,Thursday
10211,Tuesday
10210,Friday
10811,Wednesday
14322,Thursday
10807,Monday
10810,Monday
10809,Tuesday
10395,Monday
10395,Wednesday
10395,Friday
10111,Monday
10111,Wednesday
10111,Friday
12846,Monday
12846,Wednesday
12846,Friday
12847,Monday
12847,Wednesday
12847,Friday
10654,Monday
10654,Wednesday
10654,Friday
10286,Monday
10286,Wednesday
10108,Monday
10108,Wednesday
12623,Monday
12623,Wednesday
10109,Monday
10109,Wednesday
10362,Tuesday
10362,Thursday
10112,Tuesday
10112,Thursday
12193,Tuesday
12193,Thursday
13710,Tuesday
13710,Thursday
11327,Monday
11327,Wednesday
10110,Monday
10110,Wednesday
10852,Monday
10852,Wednesday
10852,Friday
14329,Tuesday
14329,Thursday
14330,Tuesday
14330,Thursday
14331,Tuesday
