id,name,college_id
ACCT,Accounting,B
ADGD,Advertising Design,A
AE,Architectural Engineering,E
AFAS,Africana Studies,AS
ANAT,Anatomy,NH
ANIM,Animation,A
ANTH,Anthropology,AS
ARBC,Arabic,AS
ARCH,Architecture,A
ARTH,Art History,A
AS-I,Arts & Sciences-Interdisp Stud,AS
BACS,Behavioral & Addictions Couns,NH
BET,Biomedical Engineering Tech,E
BIO,Bioscience & Biotechnology,AS
BLAW,Legal Studies,B
BMES,Biomedical Engineering & Sci,R
BSAN,Business Analytics,B
BUSN,General Business,B
CAE,Civil & Architectural Engineering,E
CAEE,"Civil, Architectural & Environmental Engr",E
CET,Computer Engineering Technology,E
CHE,Chemical Engineering,E
CHEC,Chemical Engineering Chemistry,AS
CHEM,Chemistry,AS
CHIN,Chinese,AS
CIT,Complementary & Integrative Therapy,NH
CIVC,Civic Engagement,CV
CIVE,Civil Engineering,E
CJS,Criminology and Justice Studies,AS
CMGT,Construction Management,E
COM,Communication,AS
COOP,Cooperative Education,X
CRTV,Creativity Studies,T
CS,Computer Science,CI
CSDN,Custom-Designed Minor,PE
CT,Computing Technology,CI
CULA,Culinary Arts,NH
DANC,Dance,A
DIGM,Digital Media,A
DSCI,Data Science,CI
DSMR,Design & Merchandising,A
EAM,Entertainment & Arts Management,A
ECE,Electrical & Computer Engr,E
ECEC,Elec & Comp Engr-Computers,E
ECEE,Elec & Computer Engr-Electroph,E
ECEL,Electrical Engineering Lab,E
ECEP,Elec & Computer Engr-Power Eng,E
ECES,Elec & Computer Engr-Systems,E
ECON,Economics,B
EDEX,Special Education,T
EDLT,Education Learning Technologies,T
EDUC,Teacher Education,T
EET,Electrical Engr Technology,E
EGMT,Engineering Management,E
EHRD,Education Human Resource Devel,T
ENGL,English,AS
ENGR,"Engineering, General",E
ENSS,Environmental Studies & Sustainability,AS
ENTP,Entrepreneurship and Innovation,C
ENVE,Environmental Engineering,E
ENVS,Environmental Science,AS
ESCI,Exercise Science,NH
ESL,English as a Second Language,AS
ESTM,STEM Teacher Education,T
EVGD,Environmental Graphic Design,A
EXAM,Common Exams,X
FASH,Fashion Design,A
FDSC,Food Science,NH
FIN,Finance,B
FMST,Film Studies,A
FMTV,Film & TV Production,A
FREN,French,AS
FYE,First-Year Exploratory Studies,GC
GEO,Geoscience,AS
GER,German,AS
GMAP,Game Art and Production,A
GST,Global Studies,AS
GSTD,General Studies,GC
HBRW,Hebrew,AS
HIST,History,AS
HNRS,Honors Program,PE
HRM,Hotel & Restaurant Management,NH
HRMT,Human Resource Management,B
HSAD,Health Services Administration,NH
HSCI,Health Sciences,NH
HUM,"Humanities, General",AS
IDM,Interactive Digital Media,A
INDE,Industrial Engineering,E
INFO,Information Science & Systems,CI
INTB,International Business,B
INTR,Interior Design,A
IST,International Studies,AS
ITAL,Italian,AS
JAPN,Japanese,AS
JWST,Jewish Studies,AS
KOR,Korean,AS
LANG,Language,AS
LAW,Law,L
LING,Linguistics,AS
MATE,Materials Engineering,E
MATH,Mathematics,AS
MEM,Mechanical Engr & Mechanics,E
MENA,Middle East & North African Studies,AS
MET,Manufacturing Engr Technology,E
MGMT,Management,B
MHT,Mechanical Engr Technology,E
MIP,Music Industry Program,A
MIS,Management Information Systems,B
MKTG,Marketing,B
MLSC,Military Science,X
MTED,Mathematics Education,T
MUSC,Music,A
NEUS,Neuroscience,AS
NFS,Nutrition & Food Science,NH
NSC,Naval Science,X
NURS,Nursing,NH
OPM,Operations Management,B
OPR,Operations Research,B
ORGB,Organizational Behavior,B
PBHL,Public Health,PH
PENG,Peace Engineering,E
PHEV,Physics-Environmental Science,AS
PHIL,Philosophy,AS
PHTO,Photography,A
PHYS,Physics,AS
PPE,"Philosophy, Politics & Economics",AS
PRFA,Performing Arts,A
PROD,Product Design,A
PROJ,Project Management,B
PRST,Professional Studies,GC
PSCI,Political Science,AS
PSY,Psychology,AS
REAL,Real Estate,E
RELS,Religious Studies,AS
REMD,Real Estate Management & Development,B
RETL,Retail Leadership,A
SCL,Sport Coaching Leadership,T
SCRP,Screenwriting & Playwriting,A
SCTS,"Science, Technology and Society",AS
SE,Software Engineering,CI
SMT,Sport Management,B
SOC,Sociology,AS
SPAN,Spanish,AS
STAT,Business Statistics,B
SYSE,Systems Engineering,E
TAX,Taxation,B
THTR,Theatre,A
TVPR,TV Production,A
TVST,TV Studies,A
VRIM,VR and Immersive Media Design,A
VSCM,Graphic Design,A
VSST,Visual Studies,A
WEST,Westphal Studies,A
WGST,Women's and Gender Studies,AS
WMGD,Web & Motion Graphic Design,A
WRIT,Writing,AS
